epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4578,3.24565,4.12272,4.21985,0.00299,0.58132,0.0037,0.00134,2.82519,3.45841,4.13898,0.00044299,0.00044299,0.00044299
2,47.0188,3.30461,4.0551,4.08946,0.00298,0.56689,0.00469,0.00154,2.8261,3.4864,4.08904,0.000898042,0.000898042,0.000898042
3,67.5644,3.06291,3.99793,3.86042,0.00222,0.57755,0.01566,0.00406,2.8949,3.52254,4.26219,0.00135083,0.00135083,0.00135083
4,88.1273,2.97452,3.91745,3.62059,0.68941,0.06093,0.01322,0.00248,3.26116,7.7613,4.41173,0.00141839,0.00141839,0.00141839
5,108.627,2.94391,3.83841,3.43539,0.68173,0.03584,0.01343,0.0029,3.11126,6.1236,4.0052,0.00141485,0.00141485,0.00141485
6,129.244,2.86652,3.78321,3.31254,0.70503,0.03226,0.02571,0.00555,2.97922,4.6848,3.6098,0.00141132,0.00141132,0.00141132
7,149.932,2.78131,3.67884,3.20988,0.68286,0.03226,0.00838,0.00175,3.23661,5.49968,3.7128,0.00140778,0.00140778,0.00140778
8,170.432,2.67909,3.5876,3.10165,0.71703,0.03943,0.02118,0.00442,2.74005,4.14337,3.60121,0.00140424,0.00140424,0.00140424
9,190.936,2.61493,3.58385,3.06407,0.36317,0.04659,0.02108,0.00482,2.61482,3.94728,3.36118,0.00140071,0.00140071,0.00140071
10,211.581,2.56865,3.49278,2.96581,0.03984,0.07444,0.02512,0.00647,2.57333,4.00556,3.22619,0.00139717,0.00139717,0.00139717
11,232.2,2.45626,3.50602,2.91812,0.42862,0.05294,0.02793,0.0076,3.04254,4.15991,3.53826,0.00139363,0.00139363,0.00139363
12,252.763,2.38632,3.42721,2.86743,0.73733,0.05689,0.06379,0.01804,2.56283,3.81492,3.21885,0.0013901,0.0013901,0.0013901
13,273.33,2.31776,3.32421,2.81084,0.74124,0.12545,0.09115,0.02874,2.46213,3.19927,3.15996,0.00138656,0.00138656,0.00138656
14,293.92,2.30181,3.29859,2.76719,0.70556,0.03943,0.03788,0.01381,2.46728,3.65798,3.17511,0.00138302,0.00138302,0.00138302
15,314.496,2.23166,3.22544,2.71095,0.74234,0.1147,0.07366,0.0263,2.31966,3.85266,2.98784,0.00137949,0.00137949,0.00137949
16,335.016,2.22787,3.25766,2.68338,0.52559,0.06231,0.09311,0.03567,2.24887,3.33568,2.99967,0.00137595,0.00137595,0.00137595
17,355.605,2.20612,3.17588,2.64642,0.73558,0.11828,0.08537,0.02971,2.40625,3.2758,3.05461,0.00137241,0.00137241,0.00137241
18,376.152,2.15348,3.15824,2.61375,0.08936,0.13951,0.07868,0.02768,2.30765,3.28518,3.00158,0.00136887,0.00136887,0.00136887
19,396.663,2.06012,3.06672,2.52825,0.12592,0.1941,0.09714,0.0321,2.22819,3.13486,2.8675,0.00136534,0.00136534,0.00136534
20,417.2,2.02089,3.01771,2.51356,0.42152,0.23187,0.09369,0.03182,2.19838,3.05766,2.86901,0.0013618,0.0013618,0.0013618
21,437.715,1.98883,2.92466,2.46348,0.13082,0.26423,0.12257,0.05516,2.07716,3.03148,2.75112,0.00135826,0.00135826,0.00135826
22,458.275,1.97594,2.89006,2.45472,0.07495,0.23624,0.1117,0.04774,2.24261,2.97317,2.90218,0.00135473,0.00135473,0.00135473
23,478.819,1.95092,2.83308,2.42892,0.15527,0.15605,0.10636,0.03931,2.10412,3.11509,2.76422,0.00135119,0.00135119,0.00135119
24,499.465,1.93038,2.89269,2.38971,0.09226,0.31808,0.10848,0.04324,2.04897,4.22275,2.72784,0.00134765,0.00134765,0.00134765
